date,home_team,away_team,home_score,away_score,tournament,stage,neutral,year
2006-06-09,Germany,Costa Rica,4,2,FIFA World Cup,group,True,2006
2006-06-09,Poland,Ecuador,0,2,FIFA World Cup,group,True,2006
2006-06-10,England,Paraguay,1,0,FIFA World Cup,group,True,2006
2006-06-10,Trinidad and Tobago,Sweden,0,0,FIFA World Cup,group,True,2006
2006-06-10,Argentina,Ivory Coast,2,1,FIFA World Cup,group,True,2006
2006-06-11,Serbia & Montenegro,Netherlands,0,1,FIFA World Cup,group,True,2006
2006-06-11,Mexico,Iran,3,1,FIFA World Cup,group,True,2006
2006-06-11,Angola,Portugal,0,1,FIFA World Cup,group,True,2006
2006-06-12,Italy,Ghana,2,0,FIFA World Cup,group,True,2006
2006-06-12,Australia,Japan,3,1,FIFA World Cup,group,True,2006
2006-06-12,United States,Czechia,0,3,FIFA World Cup,group,True,2006
2006-06-13,South Korea,Togo,2,1,FIFA World Cup,group,True,2006
2006-06-13,France,Switzerland,0,0,FIFA World Cup,group,True,2006
2006-06-13,Brazil,Croatia,1,0,FIFA World Cup,group,True,2006
2006-06-14,Germany,Poland,1,0,FIFA World Cup,group,True,2006
2006-06-14,Spain,Ukraine,4,0,FIFA World Cup,group,True,2006
2006-06-14,Tunisia,Saudi Arabia,2,2,FIFA World Cup,group,True,2006
2006-06-15,Sweden,Paraguay,1,0,FIFA World Cup,group,True,2006
2006-06-15,England,Trinidad and Tobago,2,0,FIFA World Cup,group,True,2006
2006-06-15,Ecuador,Costa Rica,3,0,FIFA World Cup,group,True,2006
2006-06-16,Argentina,Serbia & Montenegro,6,0,FIFA World Cup,group,True,2006
2006-06-16,Netherlands,Ivory Coast,2,1,FIFA World Cup,group,True,2006
2006-06-16,Mexico,Angola,0,0,FIFA World Cup,group,True,2006
2006-06-17,Portugal,Iran,2,0,FIFA World Cup,group,True,2006
2006-06-17,Czechia,Ghana,0,2,FIFA World Cup,group,True,2006
2006-06-17,Italy,United States,1,1,FIFA World Cup,group,True,2006
2006-06-18,France,South Korea,1,1,FIFA World Cup,group,True,2006
2006-06-18,Brazil,Australia,2,0,FIFA World Cup,group,True,2006
2006-06-18,Japan,Croatia,0,0,FIFA World Cup,group,True,2006
2006-06-19,Togo,Switzerland,0,2,FIFA World Cup,group,True,2006
2006-06-19,Saudi Arabia,Ukraine,0,4,FIFA World Cup,group,True,2006
2006-06-19,Spain,Tunisia,3,1,FIFA World Cup,group,True,2006
2006-06-20,Costa Rica,Poland,1,2,FIFA World Cup,group,True,2006
2006-06-20,Ecuador,Germany,0,3,FIFA World Cup,group,True,2006
2006-06-20,Paraguay,Trinidad and Tobago,2,0,FIFA World Cup,group,True,2006
2006-06-20,Sweden,England,2,2,FIFA World Cup,group,True,2006
2006-06-21,Ivory Coast,Serbia & Montenegro,3,2,FIFA World Cup,group,True,2006
2006-06-21,Netherlands,Argentina,0,0,FIFA World Cup,group,True,2006
2006-06-21,Iran,Angola,1,1,FIFA World Cup,group,True,2006
2006-06-21,Portugal,Mexico,2,1,FIFA World Cup,group,True,2006
2006-06-22,Czechia,Italy,0,2,FIFA World Cup,group,True,2006
2006-06-22,Ghana,United States,2,1,FIFA World Cup,group,True,2006
2006-06-22,Croatia,Australia,2,2,FIFA World Cup,group,True,2006
2006-06-22,Japan,Brazil,1,4,FIFA World Cup,group,True,2006
2006-06-23,Saudi Arabia,Spain,0,1,FIFA World Cup,group,True,2006
2006-06-23,Ukraine,Tunisia,1,0,FIFA World Cup,group,True,2006
2006-06-23,Switzerland,South Korea,2,0,FIFA World Cup,group,True,2006
2006-06-23,Togo,France,0,2,FIFA World Cup,group,True,2006
2006-06-24,Argentina,Mexico,2,1,FIFA World Cup,group,True,2006
2006-06-24,Germany,Sweden,2,0,FIFA World Cup,group,True,2006
2006-06-25,England,Ecuador,1,0,FIFA World Cup,group,True,2006
2006-06-25,Portugal,Netherlands,1,0,FIFA World Cup,group,True,2006
2006-06-26,Italy,Australia,1,0,FIFA World Cup,group,True,2006
2006-06-26,Switzerland,Ukraine,0,0,FIFA World Cup,group,True,2006
2006-06-27,Brazil,Ghana,3,0,FIFA World Cup,group,True,2006
2006-06-27,Spain,France,1,3,FIFA World Cup,group,True,2006
2006-06-30,Germany,Argentina,1,1,FIFA World Cup,quarter-final,True,2006
2006-06-30,Italy,Ukraine,3,0,FIFA World Cup,quarter-final,True,2006
2006-07-01,Brazil,France,0,1,FIFA World Cup,quarter-final,True,2006
2006-07-01,England,Portugal,0,0,FIFA World Cup,quarter-final,True,2006
2006-07-04,Germany,Italy,0,2,FIFA World Cup,semi-final,True,2006
2006-07-05,Portugal,France,0,1,FIFA World Cup,semi-final,True,2006
2006-07-08,Germany,Portugal,3,1,FIFA World Cup,group,True,2006
2006-07-09,Italy,France,1,1,FIFA World Cup,final,True,2006
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,group,True,2010
2010-06-11,Uruguay,France,0,0,FIFA World Cup,group,True,2010
2010-06-12,South Korea,Greece,2,0,FIFA World Cup,group,True,2010
2010-06-12,Argentina,Nigeria,1,0,FIFA World Cup,group,True,2010
2010-06-12,England,United States,1,1,FIFA World Cup,group,True,2010
2010-06-13,Germany,Australia,4,0,FIFA World Cup,group,True,2010
2010-06-13,Algeria,Slovenia,0,1,FIFA World Cup,group,True,2010
2010-06-13,Serbia,Ghana,0,1,FIFA World Cup,group,True,2010
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,group,True,2010
2010-06-14,Japan,Cameroon,1,0,FIFA World Cup,group,True,2010
2010-06-14,Italy,Paraguay,1,1,FIFA World Cup,group,True,2010
2010-06-15,Brazil,North Korea,2,1,FIFA World Cup,group,True,2010
2010-06-15,New Zealand,Slovakia,1,1,FIFA World Cup,group,True,2010
2010-06-15,Ivory Coast,Portugal,0,0,FIFA World Cup,group,True,2010
2010-06-16,South Africa,Uruguay,0,3,FIFA World Cup,group,True,2010
2010-06-16,Honduras,Chile,0,1,FIFA World Cup,group,True,2010
2010-06-16,Spain,Switzerland,0,1,FIFA World Cup,group,True,2010
2010-06-17,Argentina,South Korea,4,1,FIFA World Cup,group,True,2010
2010-06-17,Greece,Nigeria,2,1,FIFA World Cup,group,True,2010
2010-06-17,France,Mexico,0,2,FIFA World Cup,group,True,2010
2010-06-18,Germany,Serbia,0,1,FIFA World Cup,group,True,2010
2010-06-18,Slovenia,United States,2,2,FIFA World Cup,group,True,2010
2010-06-18,England,Algeria,0,0,FIFA World Cup,group,True,2010
2010-06-19,Cameroon,Denmark,1,2,FIFA World Cup,group,True,2010
2010-06-19,Ghana,Australia,1,1,FIFA World Cup,group,True,2010
2010-06-19,Netherlands,Japan,1,0,FIFA World Cup,group,True,2010
2010-06-20,Slovakia,Paraguay,0,2,FIFA World Cup,group,True,2010
2010-06-20,Italy,New Zealand,1,1,FIFA World Cup,group,True,2010
2010-06-20,Brazil,Ivory Coast,3,1,FIFA World Cup,group,True,2010
2010-06-21,Portugal,North Korea,7,0,FIFA World Cup,group,True,2010
2010-06-21,Chile,Switzerland,1,0,FIFA World Cup,group,True,2010
2010-06-21,Spain,Honduras,2,0,FIFA World Cup,group,True,2010
2010-06-22,Greece,Argentina,0,2,FIFA World Cup,group,True,2010
2010-06-22,Nigeria,South Korea,2,2,FIFA World Cup,group,True,2010
2010-06-22,France,South Africa,1,2,FIFA World Cup,group,True,2010
2010-06-22,Mexico,Uruguay,0,1,FIFA World Cup,group,True,2010
2010-06-23,Slovenia,England,0,1,FIFA World Cup,group,True,2010
2010-06-23,United States,Algeria,1,0,FIFA World Cup,group,True,2010
2010-06-23,Australia,Serbia,2,1,FIFA World Cup,group,True,2010
2010-06-23,Ghana,Germany,0,1,FIFA World Cup,group,True,2010
2010-06-24,Paraguay,New Zealand,0,0,FIFA World Cup,group,True,2010
2010-06-24,Slovakia,Italy,3,2,FIFA World Cup,group,True,2010
2010-06-24,Cameroon,Netherlands,1,2,FIFA World Cup,group,True,2010
2010-06-24,Denmark,Japan,1,3,FIFA World Cup,group,True,2010
2010-06-25,Switzerland,Honduras,0,0,FIFA World Cup,group,True,2010
2010-06-25,Chile,Spain,1,2,FIFA World Cup,group,True,2010
2010-06-25,North Korea,Ivory Coast,0,3,FIFA World Cup,group,True,2010
2010-06-25,Portugal,Brazil,0,0,FIFA World Cup,group,True,2010
2010-06-26,Uruguay,South Korea,2,1,FIFA World Cup,group,True,2010
2010-06-26,United States,Ghana,1,2,FIFA World Cup,group,True,2010
2010-06-27,Germany,England,4,1,FIFA World Cup,group,True,2010
2010-06-27,Argentina,Mexico,3,1,FIFA World Cup,group,True,2010
2010-06-28,Netherlands,Slovakia,2,1,FIFA World Cup,group,True,2010
2010-06-28,Brazil,Chile,3,0,FIFA World Cup,group,True,2010
2010-06-29,Spain,Portugal,1,0,FIFA World Cup,group,True,2010
